"","state_GEOID","State","pop_s","pop_wra_s","pct_wra_hisplatino","pct_wra_black","pct_wra_white","pct_wra_asian","pct_wra_native","pct_wra_pacificisland","pct_wra_mixed","pct_wra_other","pop_wra_hisplatino","pop_wra_black","pop_wra_white","pop_wra_asian","pop_wra_native","pop_wra_pacificisland","pop_wra_mixed","pop_wra_other","pop_hisplatino_alone","pop_black_alone","pop_white_alone","pop_asian_alone","pop_native_alone","pop_pacificisland_alone","pop_mixed_alone","pop_other_alone","pct_pop_hisplatino_alone","pct_pop_black_alone","pct_pop_white_alone","pct_pop_asian_alone","pct_pop_native_alone","pct_pop_pacificisland_alone","pct_pop_mixed_alone","pct_pop_other_alone"
"37",40,"Oklahoma",3932870,770546,11.9179127527753,8.11191025584456,68.7951141138881,2.95803235627724,8.45504356650998,0.220493001066776,8.37445136305944,3.08495534335393,91833,62506,530098,22793,65150,1699,64529,23771,417906,280944,2581231,84020,285402,5629,272543,5195,10.6259805180441,7.14348554617874,65.632248205509,2.13635335009802,7.25683788175048,0.143127029370409,6.92987563789294,0.132091831156382
"38",41,"Oregon",4129803,808045,15.6138581390888,2.12946061172336,81.042516196499,5.8306158691657,1.16998434493128,0.511233904052373,5.4821204264614,3.83406864716693,126167,17207,654860,47114,9454,4131,44298,30981,537217,75232,3125842,178412,38050,15785,153210,6055,13.0082960373655,1.82168495688535,75.6898573612349,4.32010921586332,0.921351454294551,0.382221621709316,3.70986218955238,0.146617163094705
"39",42,"Pennsylvania",12791530,2382504,9.06327964192295,13.0190337560818,76.4196408484519,4.75533304456152,0.189380584460719,0.0531793440850467,2.80734051233492,2.75609191002408,215933,310179,1820701,113296,4512,1267,66885,65664,935216,1363043,9777163,433115,14483,2616,245139,20755,7.31121296670531,10.6558245964322,76.4346641879431,3.38595148508427,0.113223359519932,0.0204510328318817,1.91641656627471,0.162255805208603
"40",44,"Rhode Island",1057231,208453,18.5523835109113,7.83198130993557,75.922150316858,5.10138976172087,0.611168944558246,0.11849193823068,3.85074813027397,6.56406959842267,38673,16326,158262,10634,1274,247,8027,13683,163226,60415,761432,35401,3402,661,25194,7500,15.4390100176783,5.71445597036031,72.0213463282859,3.34846405374038,0.321783980984288,0.0625218140595575,2.38301752407941,0.709400310811923
"41",45,"South Carolina",5020806,967494,6.4226754894604,30.1739338951973,63.034292719128,1.99039994046475,0.320415423764902,0.084548327948287,2.32755965411672,2.06885003938009,62139,291931,609853,19257,3100,818,22519,20016,285458,1333876,3196421,78102,14748,3784,99278,9139,5.68550149119484,26.5669695264067,63.663503429529,1.55556697470486,0.293737698688219,0.0753663853970857,1.97733192638791,0.182022567691323
"42",46,"South Dakota",870638,160464,4.16105793199721,2.49526373516801,81.005085252767,2.27029115564862,10.310723900688,0.0953484893807957,2.80125137102403,1.02203609532356,6677,4004,129984,3643,16545,153,4495,1640,33024,17191,713546,12511,73396,451,19910,609,3.793080476616,1.97452902354365,81.9566800438299,1.43699218274415,8.43013973660695,0.0518010929915763,2.28682873938422,0.0699487042835254
"43",47,"Tennessee",6709356,1314245,6.06743795867589,19.4424935989865,74.1360248659877,2.3341918744222,0.304661611799931,0.0730457410908925,2.16268656148587,1.54689574622692,79741,255522,974329,30677,4004,960,28423,20330,364174,1114068,4951558,116563,15553,3387,132259,11794,5.42785328427945,16.6046935056062,73.8007939957278,1.73732024355244,0.231810623851231,0.0504817451928322,1.97126221950363,0.175784382286467
"44",48,"Texas",28260856,5903162,42.4516894505013,13.3386141190094,71.3738840302875,5.63494615258738,0.522533516783039,0.115870104869221,2.68618750425619,6.32796457220723,2505992,787400,4213316,332640,30846,6840,158570,373550,11116881,3328707,11856336,1340554,71081,21739,481093,44465,39.3366747277577,11.7785073459912,41.9532090606173,4.74350104611127,0.251517505343787,0.0769226523074885,1.70232989404143,0.157337767829821
"45",49,"Utah",3096848,675931,14.7945574326374,1.14952561725975,85.011339914873,2.98684333164184,1.23755235371658,1.04759213588369,3.14913800373115,5.41800864289402,100001,7770,574618,20189,8365,7081,21286,36622,434832,34571,2425647,71000,28515,26961,70074,5248,14.0411153534174,1.11632860250164,78.3263175977639,2.29265369175368,0.920774929864172,0.870594875822126,2.26275232106968,0.169462627807371
"46",50,"Vermont",624313,114490,2.83867586688794,1.52153026465193,92.2368765831077,2.91204472006289,0.394794305179492,0.0707485369901301,2.26570006114071,0.59830552886715,3250,1742,105602,3334,452,81,2594,685,12038,7901,579340,10393,1807,296,11780,758,1.92819947686497,1.26555109376226,92.7964018048639,1.66470984906609,0.289438150414936,0.0474121153972447,1.88687405195791,0.121413457672674
"47",51,"Virginia",8454463,1680699,10.9877497398404,20.6531330119194,63.843139074873,7.82787399766407,0.293270835527361,0.0828821817588991,4.11519254786253,3.18450835039469,184671,347117,1073011,131563,4929,1393,69164,53522,792001,1588726,5227569,536076,18092,5146,265103,21750,9.36784512511321,18.791566063983,61.8320643191649,6.34074571028343,0.213993484861191,0.0608672602860761,3.13565746280988,0.257260573498281
"48",53,"Washington",7404107,1468885,14.8367639399953,4.12877795062241,70.9424495450631,10.8941816411768,1.33277962536209,0.860857044629089,6.43951024076085,5.40144395238565,217935,60647,1042063,160023,19577,12645,94589,79341,937579,270704,5073945,625682,79694,47532,356353,12618,12.6629585444943,3.65613300834253,68.5287908454051,8.45047215011884,1.07634857248822,0.641968032066527,4.81290991607766,0.170418931006805
"49",54,"West Virginia",1817305,323135,2.00968635400065,3.72073591532951,92.5260340105529,1.17319386634069,0.203939529917836,0.0244479861358256,1.80915097405109,0.54249771767218,6494,12023,298984,3791,659,79,5846,1753,28368,65848,1671546,14319,3593,404,29935,3292,1.56099278877239,3.62338737856331,91.9793870594094,0.787924976820071,0.197710345814269,0.022230720765089,1.64721937154193,0.181147358313547
"50",55,"Wisconsin",5790716,1085400,8.34005896443707,7.87635894601069,81.9023401510964,4.18196056753271,0.959461949511701,0.0571217984153308,2.4851667587986,2.53758982863461,90523,85490,888968,45391,10414,620,26974,27543,394392,364060,4705599,160706,46936,2107,110848,6068,6.81076398842561,6.28696002359639,81.2610910291577,2.77523539403417,0.810538800383234,0.0363858286263737,1.91423651237602,0.104788423400491
"51",56,"Wyoming",581024,108678,11.0767588656398,1.09589797383095,90.0274204530816,1.38206444726624,2.6776348478993,0.112258230736672,2.74756620475165,1.95715784243361,12038,1191,97840,1502,2910,122,2986,2127,57341,5193,488437,4907,12547,460,11921,218,9.86895549925648,0.893766866773145,84.0648579060418,0.844543426777551,2.15946329239412,0.0791705678250812,2.05172247617999,0.0375199647518863
"52",72,"Puerto Rico",3318447,651463,98.7661617006645,11.4074014947894,64.7180269639258,0.291497751982845,0.198322851796648,0.00675402900855459,5.61658912325028,17.7614077852464,643425,74315,421614,1899,1292,44,36590,115709,3275919,3179,31723,2351,118,21,1993,3143,98.7184366663081,0.0957978234999685,0.955959218272885,0.0708463929060793,0.00355588020540934,0.000632826138250814,0.0600582139778035,0.0947129786915385
